# eigenvectors: bloques por k; cada bloque comienza con '# k <ik>' seguido de N lineas (cada linea es un autovector con N entradas complejas)
# formato complejo por entrada: Re(+-)Imj (ej: 1.234567e-01+2.345678e-03j)
# k 0
7.071067811865e-01+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j -1.607540771971e-11+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j 7.071067811865e-01+0.000000000000e+00j -6.073634923056e-39+0.000000000000e+00j 1.607540771971e-11+0.000000000000e+00j 0.000000000000e+00+0.000000000000e+00j
1.749420079081e-01+0.000000000000e+00j 5.629778423006e-04+5.933347732715e-01j 3.250357589327e-04+3.425619916214e-01j 0.000000000000e+00-5.820525865986e-17j -1.745625836001e-01-1.151566488753e-02j 3.961838191211e-02-5.920108562618e-01j 2.287368384762e-02-3.417976277552e-01j 2.824304346756e-17-3.797493300248e-17j
-1.354476815149e-10+0.000000000000e+00j -1.611289216867e-01-3.147021939555e-01j 2.790834790352e-01+5.450801880873e-01j 0.000000000000e+00+4.718447854657e-16j 1.311048353214e-10+3.402383930151e-11j -2.350136132057e-01+2.641374677934e-01j 4.070555183689e-01-4.574995133125e-01j -2.725419828530e-16+4.041678323619e-16j
-1.356066752837e-17-0.000000000000e+00j -9.504535238530e-17-2.744659782635e-16j 1.645159518268e-16+3.621687290479e-16j -2.010666286245e-10-7.071067811865e-01j 2.152123323687e-17-4.280893950873e-17j -1.163845118422e-16+2.530473254547e-16j 4.495809417989e-16-3.346230791995e-16j 4.219833014038e-01-5.673888378673e-01j
-1.356066746824e-17+0.000000000000e+00j 1.572691794985e-16+2.479724315491e-16j -2.725056370583e-16-5.427211400480e-16j -1.813634936676e-10-7.071067811865e-01j -1.867382295131e-18-5.277516925184e-17j -1.559905404834e-16+2.878604846940e-16j 5.760726342404e-16-5.831092587942e-16j -4.219833014196e-01+5.673888378555e-01j
1.354479516955e-10+0.000000000000e+00j 1.611279770989e-01+3.147026775868e-01j -2.790818429612e-01-5.450810257614e-01j -8.326672684689e-17+6.661338147751e-16j 1.311049879771e-10+3.402389481266e-11j -2.350144060203e-01+2.641367623926e-01j 4.070568915640e-01-4.574982915224e-01j 4.210853302499e-16-5.408077992812e-16j
-1.749420079081e-01+0.000000000000e+00j -5.629778423009e-04-5.933347732715e-01j -3.250357589319e-04-3.425619916214e-01j 0.000000000000e+00+5.820525939657e-17j -1.745625836001e-01-1.151566488753e-02j 3.961838191211e-02-5.920108562618e-01j 2.287368384762e-02-3.417976277552e-01j 2.824304386134e-17-3.797493353896e-17j
-6.851242908181e-01+0.000000000000e+00j 1.437527428005e-04+1.515041548396e-01j 8.299570059112e-05+8.747096457764e-02j 0.000000000000e+00-8.665652852373e-19j 5.553825925788e-01+4.011800963776e-01j 8.883101946139e-02-1.227297012950e-01j 5.128661300989e-02-7.085802606905e-02j -1.652681436073e-19+2.222156649481e-19j
# k 7
6.774434247402e-01+0.000000000000e+00j -2.002810592434e-04-1.755071639423e-01j -1.156323391727e-04-1.013291083442e-01j 0.000000000000e+00-1.390793759582e-18j 5.053915935790e-01+4.511196414073e-01j 1.170222432319e-01-1.307998444058e-01j 6.756282364104e-02-7.551732536520e-02j 2.939622374374e-19-3.147420074381e-19j
2.026583486468e-01+0.000000000000e+00j 6.694965626092e-04+5.866828332915e-01j 3.865342883057e-04+3.387214920999e-01j 0.000000000000e+00+5.195205576283e-17j -2.014644958223e-01-2.196504494214e-02j 6.425293936529e-02-5.831541433339e-01j 3.709645214498e-02-3.366842019718e-01j -2.611534668471e-17+2.796140338379e-17j
-1.081645635740e-10+0.000000000000e+00j -1.745615137882e-01-3.074545138582e-01j 3.023494110168e-01+5.325268382626e-01j 3.330669073875e-16+8.326672684689e-17j 1.020361711790e-10+3.589145647354e-11j -2.666913451077e-01+2.321114530403e-01j 4.619229594989e-01-4.020288289414e-01j 1.406529443256e-16+3.956783652387e-16j
1.355712316255e-17+0.000000000000e+00j 1.314027227763e-16-1.239733192015e-16j -2.274816856841e-16+3.150705319191e-16j 6.070255444135e-10-7.071067811865e-01j -3.814067214098e-17+9.618087956530e-17j -4.838095533679e-16-1.000316951964e-16j 3.656455075904e-16+6.804818994669e-17j 4.826499906121e-01-5.167678265548e-01j
1.355712318065e-17+0.000000000000e+00j -7.191908162216e-19+1.926877391681e-16j 1.360181388101e-18-2.334025098833e-16j -3.010764346167e-10-7.071067811865e-01j -2.329548103725e-17+1.168339325435e-16j -4.813996935905e-16+8.133613725245e-17j 2.560145383287e-16-1.191143579344e-16j -4.826499899484e-01+5.167678271746e-01j
1.081648567802e-10+0.000000000000e+00j 1.745616078436e-01+3.074544604570e-01j -3.023495739256e-01-5.325267457689e-01j 8.326672684689e-17+2.775557561563e-16j 1.020364903681e-10+3.589145647354e-11j -2.666912741009e-01+2.321115346256e-01j 4.619228365116e-01-4.020289702512e-01j 1.310789838623e-16-2.680098801292e-16j
-2.026583486468e-01+0.000000000000e+00j -6.694965626087e-04-5.866828332915e-01j -3.865342883062e-04-3.387214920999e-01j 0.000000000000e+00-5.195205559481e-17j -2.014644958223e-01-2.196504494214e-02j 6.425293936529e-02-5.831541433339e-01j 3.709645214498e-02-3.366842019718e-01j -2.611534668850e-17+2.796140311653e-17j
-6.774434247402e-01+0.000000000000e+00j 2.002810592434e-04+1.755071639423e-01j 1.156323391727e-04+1.013291083442e-01j 0.000000000000e+00+1.390793760996e-18j 5.053915935790e-01+4.511196414073e-01j 1.170222432319e-01-1.307998444058e-01j 6.756282364104e-02-7.551732536520e-02j 2.939622374046e-19-3.147420072186e-19j
# k 8
6.687325245712e-01+0.000000000000e+00j -2.692283781487e-04-1.989912949152e-01j -1.554390921167e-04-1.148876776828e-01j 0.000000000000e+00+9.398050475624e-20j 4.506253133963e-01+4.941052684863e-01j 1.472097807504e-01-1.338913305161e-01j 8.499160655189e-02-7.730219570220e-02j -2.136194581863e-20+1.817155661669e-20j
2.297755656735e-01+0.000000000000e+00j 7.835548416083e-04+5.791388244437e-01j 4.523858050948e-04+3.343659564463e-01j 0.000000000000e+00-2.184993141963e-18j -2.268525376392e-01-3.653404914945e-02j 9.285599022785e-02-5.716468814006e-01j 5.361043119830e-02-3.300404810776e-01j 1.102082886902e-18-9.374877222172e-19j
-8.705302591382e-11+0.000000000000e+00j -1.842422252744e-01-3.017528832568e-01j 3.191168951527e-01+5.226513245944e-01j -1.110223024625e-16+3.053113317719e-16j 7.886434560955e-11+3.685973748446e-11j -2.946785285466e-01+1.953575310589e-01j 5.103981831857e-01-3.383691689160e-01j -2.030205559496e-16+1.038149255841e-16j
-6.211370723809e-19-0.000000000000e+00j -6.666323167323e-17-9.122691898781e-17j 1.154584300707e-16+1.538157543296e-16j 7.646125711747e-10-7.071067811865e-01j 1.389452399160e-17-3.745411967000e-17j 6.918358653516e-17+5.057282028905e-17j 3.994316230837e-17-6.794628324423e-17j 5.385994473460e-01-4.581600542590e-01j
-6.211370645435e-19+0.000000000000e+00j -9.125995083574e-17+8.645461365078e-17j 1.580611973261e-16-1.539376877362e-16j 7.949611708497e-09-7.071067811865e-01j 1.655135321325e-18-1.297831779855e-17j 4.700821568720e-17-9.944886177952e-17j -2.837094524667e-17+1.657012284297e-16j -5.385994520014e-01+4.581600487862e-01j
8.705308267011e-11+0.000000000000e+00j 1.842411198656e-01+3.017535581870e-01j -3.191149805286e-01-5.226524936078e-01j 2.775557561563e-16+0.000000000000e+00j 7.886437336513e-11+3.685968197331e-11j -2.946792441954e-01+1.953564515655e-01j 5.103994227258e-01-3.383672991785e-01j -1.395872379116e-16-2.296570786192e-16j
-2.297755656735e-01+0.000000000000e+00j -7.835548416088e-04-5.791388244437e-01j -4.523858050940e-04-3.343659564463e-01j 0.000000000000e+00+2.184993303522e-18j -2.268525376392e-01-3.653404914945e-02j 9.285599022785e-02-5.716468814006e-01j 5.361043119830e-02-3.300404810776e-01j 1.102082905229e-18-9.374878185736e-19j
-6.687325245712e-01+0.000000000000e+00j 2.692283781488e-04+1.989912949152e-01j 1.554390921166e-04+1.148876776828e-01j 0.000000000000e+00-9.398050505916e-20j 4.506253133963e-01+4.941052684863e-01j 1.472097807504e-01-1.338913305161e-01j 8.499160655189e-02-7.730219570219e-02j -2.136194578490e-20+1.817155671500e-20j
# k 9
-6.590421323243e-01+0.000000000000e+00j 3.529527798950e-04+2.219177241479e-01j 2.037773977497e-04+1.281242577716e-01j 0.000000000000e+00-1.480103337382e-18j -3.921320655439e-01-5.296876205377e-01j -1.785704882731e-01+1.317580418213e-01j -1.030977194804e-01+7.607054089930e-02j 3.524769894567e-19-2.342622005046e-19j
2.562488396489e-01+0.000000000000e+00j 9.077533370145e-04+5.707465068035e-01j 5.240917932805e-04+3.295206495227e-01j 0.000000000000e+00-2.301965717213e-17j -2.501814077726e-01-5.543222011026e-02j 1.243511933311e-01-5.570360668410e-01j 7.179419513886e-02-3.216049232807e-01j 1.134211616694e-17-7.538163272591e-18j
7.024318842304e-11+0.000000000000e+00j 1.904016600315e-01+2.979046960792e-01j -3.297853490889e-01-5.159860690344e-01j 1.665334536938e-16-3.191891195797e-16j -5.983143147592e-11-3.680089566416e-11j 3.182530833154e-01-1.539966722013e-01j -5.512305098229e-01+2.667300600824e-01j 2.537592919455e-16-9.553058601794e-17j
-6.962611776331e-18-0.000000000000e+00j -1.355778950982e-16-1.340658794648e-16j 2.347578499403e-16+1.882263664120e-16j 1.506331483159e-10-7.071067811865e-01j -1.889769911985e-17+5.535999345252e-17j -1.975255227199e-16+8.583191569667e-17j 1.337660061545e-16-1.527462941987e-16j 5.889049152156e-01-3.913962197504e-01j
-6.962611768785e-18+0.000000000000e+00j -1.543570892038e-17-1.331839457798e-17j 2.666547931577e-17-2.091441224123e-17j 6.417051959251e-11-7.071067811865e-01j -1.833242382051e-17+2.872876851286e-17j -9.852941694072e-17-8.442750228580e-18j 6.272392205059e-17-2.569110582859e-17j -5.889049151677e-01+3.913962198224e-01j
