  0.14286840E+01 -0.10482307E+02
  0.14456922E+01 -0.10567335E+02
  0.14627003E+01 -0.10650974E+02
  0.14797085E+01 -0.10733341E+02
  0.14967166E+01 -0.10814552E+02
  0.15137248E+01 -0.10894712E+02
  0.15307329E+01 -0.10973908E+02
  0.15477410E+01 -0.11052205E+02
  0.15647492E+01 -0.11129640E+02
  0.15817573E+01 -0.11206223E+02
  0.15987655E+01 -0.11281938E+02
  0.16157736E+01 -0.11356740E+02
  0.16327818E+01 -0.11430560E+02
  0.16497899E+01 -0.11503307E+02
  0.16667981E+01 -0.11574870E+02
  0.16838062E+01 -0.11645129E+02
  0.17008143E+01 -0.11713954E+02
  0.17178225E+01 -0.11649899E+02
  0.17348306E+01 -0.11596189E+02
  0.17518387E+01 -0.11553379E+02
  0.17688469E+01 -0.11521572E+02
  0.17858550E+01 -0.11500425E+02
  0.18028632E+01 -0.11489204E+02
  0.18198713E+01 -0.11486889E+02
  0.18368794E+01 -0.11492301E+02
  0.18538876E+01 -0.11504228E+02
  0.18708957E+01 -0.11521503E+02
  0.18879038E+01 -0.11543068E+02
  0.19049120E+01 -0.11567987E+02
  0.19219201E+01 -0.11595462E+02
  0.19389283E+01 -0.11624819E+02
  0.19559364E+01 -0.11655498E+02
  0.19729445E+01 -0.11687041E+02
  0.19899527E+01 -0.11719072E+02
  0.20069608E+01 -0.11751291E+02
  0.20239689E+01 -0.11783455E+02
  0.20409771E+01 -0.11815372E+02
  0.20579852E+01 -0.11846893E+02
  0.20749934E+01 -0.11877897E+02
  0.20920015E+01 -0.11908295E+02
  0.21090096E+01 -0.11938015E+02
  0.21260178E+01 -0.11967002E+02
  0.21430259E+01 -0.11995212E+02
  0.21600340E+01 -0.12022613E+02
  0.21770422E+01 -0.12049176E+02
  0.21940503E+01 -0.12074876E+02
  0.22110585E+01 -0.12099693E+02
  0.22280666E+01 -0.12123605E+02
  0.22450747E+01 -0.12146591E+02
  0.22620829E+01 -0.12168628E+02
  0.22790910E+01 -0.12189692E+02
  0.22960991E+01 -0.12209756E+02
  0.23131073E+01 -0.12228790E+02
  0.23301154E+01 -0.12246765E+02
  0.23471236E+01 -0.12263647E+02
  0.23641317E+01 -0.12279400E+02
  0.23811398E+01 -0.12293988E+02
  0.23981480E+01 -0.12307375E+02
  0.24151561E+01 -0.12319524E+02
  0.24321642E+01 -0.12330398E+02
  0.24491724E+01 -0.12339962E+02
  0.24661805E+01 -0.12348181E+02
  0.24831887E+01 -0.12355026E+02
  0.25001968E+01 -0.12360465E+02
  0.25172049E+01 -0.12364473E+02
  0.25342131E+01 -0.12367029E+02
  0.25512212E+01 -0.12368112E+02
  0.25681518E+01 -0.12351889E+02
  0.25850824E+01 -0.12306164E+02
  0.26020130E+01 -0.12236874E+02
  0.26189437E+01 -0.12150317E+02
  0.26358743E+01 -0.12051492E+02
  0.26528049E+01 -0.11943878E+02
  0.26697355E+01 -0.11829764E+02
  0.26866661E+01 -0.11710625E+02
  0.27035967E+01 -0.11587399E+02
  0.27205273E+01 -0.11460685E+02
  0.27374580E+01 -0.11330872E+02
  0.27543886E+01 -0.11198218E+02
  0.27713192E+01 -0.11062919E+02
  0.27882498E+01 -0.10925149E+02
  0.28051804E+01 -0.10785089E+02
  0.28221110E+01 -0.10642948E+02
  0.28390416E+01 -0.10498977E+02
  0.28559722E+01 -0.10353470E+02
  0.28729029E+01 -0.10206762E+02
  0.28898335E+01 -0.10059220E+02
  0.29067641E+01 -0.99112277E+01
  0.29236947E+01 -0.97631715E+01
  0.29406253E+01 -0.96154204E+01
  0.29575559E+01 -0.94683090E+01
  0.29744865E+01 -0.93221197E+01
  0.29914171E+01 -0.91770671E+01
  0.30083478E+01 -0.90332834E+01
  0.30252784E+01 -0.88908054E+01
  0.30422090E+01 -0.87495632E+01
